Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand
Adeiny Hechavarria,588751,121,51.0,39.0,19.0,6.0,0.0,5.0,22.0,5.0,0.0,27.0,0.0,0.229,118.0,0.26,0.407,0.667,1.0,3.0,0.75,2.0,448.0,123.0,48.0,18.0,46.0,0.0,0.0,0.242,1.3,0.25,5.0,0.286,0.636,0.35,0.214,6.0,0.241,0.634,0.393,0.281,4.5,0.99,10.13,0.75,24.0,17.21,5.25,0.0,0.64,2.33,7.88,3.38,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Amed Rosario,642708,121,99.0,100.0,47.0,20.0,5.0,11.0,85.0,23.0,1.0,102.0,1.0,0.271,377.0,0.312,0.438,0.75,5.0,11.0,0.688,9.0,1508.0,406.0,165.0,46.0,145.0,2.0,3.0,0.32,1.05,0.233,7.0,0.303,0.703,0.4,0.339,19.0,0.403,0.974,0.571,0.281,4.5,0.99,10.13,0.75,24.0,17.21,5.25,0.0,0.64,2.33,7.88,3.38,1.5,0.0,4.0,0.25,1.0,0.4,1.15,0.75,1.0
Dominic Smith,642086,121,87.0,39.0,34.0,10.0,0.0,10.0,44.0,19.0,0.0,49.0,1.0,0.283,173.0,0.358,0.514,0.872,2.0,1.0,0.333,5.0,753.0,193.0,89.0,22.0,79.0,0.0,0.0,0.328,0.95,0.261,6.0,0.261,0.783,0.522,0.176,9.0,0.192,0.525,0.333,0.281,4.5,0.99,10.13,0.75,24.0,17.21,5.25,0.0,0.64,2.33,7.88,3.38,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.D. Davis,605204,121,86.0,68.0,31.0,11.0,1.0,9.0,52.0,22.0,1.0,68.0,1.0,0.292,233.0,0.355,0.464,0.819,0.0,0.0,0.0,5.0,990.0,256.0,108.0,26.0,105.0,0.0,0.0,0.343,1.51,0.435,10.0,0.48,1.002,0.522,0.386,17.0,0.438,0.961,0.523,0.281,4.5,0.99,10.13,0.75,24.0,17.21,5.25,0.0,0.64,2.33,7.88,3.38,1.5,0.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0
Jeff McNeil,643446,121,88.0,81.0,50.0,27.0,1.0,9.0,48.0,20.0,2.0,115.0,14.0,0.341,337.0,0.402,0.507,0.909,5.0,4.0,0.444,3.0,1337.0,371.0,171.0,41.0,118.0,0.0,0.0,0.379,0.87,0.296,8.0,0.367,0.848,0.481,0.306,19.0,0.358,0.826,0.468,0.281,4.5,0.99,10.13,0.75,24.0,17.21,5.25,0.0,0.64,2.33,7.88,3.38,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Lagares,501571,121,84.0,45.0,19.0,6.0,0.0,2.0,50.0,12.0,3.0,28.0,2.0,0.185,151.0,0.253,0.265,0.518,1.0,3.0,0.75,5.0,631.0,167.0,40.0,15.0,65.0,1.0,1.0,0.26,1.5,0.375,3.0,0.444,0.944,0.5,0.188,3.0,0.278,0.528,0.25,0.281,4.5,0.99,10.13,0.75,24.0,17.21,5.25,0.0,0.64,2.33,7.88,3.38,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Michael Conforto,624424,121,93.0,62.0,52.0,18.0,0.0,18.0,93.0,50.0,3.0,85.0,7.0,0.253,336.0,0.358,0.467,0.825,1.0,5.0,0.833,5.0,1594.0,397.0,157.0,51.0,135.0,0.0,4.0,0.293,0.62,0.286,8.0,0.31,0.739,0.429,0.281,16.0,0.339,0.76,0.421,0.281,4.5,0.99,10.13,0.75,24.0,17.21,5.25,0.0,0.64,2.33,7.88,3.38,1.5,0.0,4.0,1.0,4.0,1.0,2.75,1.75,0.0
Pete Alonso,624413,121,101.0,85.0,64.0,21.0,2.0,33.0,108.0,48.0,1.0,96.0,14.0,0.263,365.0,0.367,0.603,0.97,0.0,1.0,1.0,9.0,1738.0,430.0,220.0,75.0,165.0,0.0,3.0,0.278,1.08,0.143,3.0,0.4,0.829,0.429,0.173,9.0,0.343,0.824,0.481,0.281,4.5,0.99,10.13,0.75,24.0,17.21,5.25,0.0,0.64,2.33,7.88,3.38,1.5,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
Robinson Cano,429664,121,77.0,94.0,29.0,19.0,0.0,9.0,53.0,16.0,2.0,72.0,3.0,0.25,288.0,0.295,0.41,0.705,0.0,0.0,0.0,12.0,1075.0,308.0,118.0,28.0,127.0,0.0,1.0,0.278,1.34,0.296,8.0,0.321,0.988,0.667,0.293,17.0,0.323,0.909,0.586,0.281,4.5,0.99,10.13,0.75,24.0,17.21,5.25,0.0,0.64,2.33,7.88,3.38,1.5,0.0,2.0,0.5,1.0,0.5,1.0,0.5,0.0
Todd Frazier,453943,121,78.0,60.0,35.0,8.0,2.0,13.0,68.0,26.0,0.0,65.0,7.0,0.244,266.0,0.328,0.436,0.764,2.0,1.0,0.333,7.0,1210.0,299.0,116.0,39.0,116.0,0.0,0.0,0.281,0.82,0.185,5.0,0.267,0.674,0.407,0.2,11.0,0.302,0.684,0.382,0.281,4.5,0.99,10.13,0.75,24.0,17.21,5.25,0.0,0.64,2.33,7.88,3.38,1.5,0.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0
Tomas Nido,621512,121,31.0,32.0,5.0,3.0,0.0,3.0,23.0,4.0,1.0,22.0,0.0,0.234,94.0,0.265,0.362,0.627,0.0,0.0,0.0,3.0,326.0,98.0,34.0,12.0,45.0,0.0,0.0,0.279,1.88,0.15,3.0,0.227,0.477,0.25,0.25,12.0,0.308,0.662,0.354,0.281,4.5,0.99,10.13,0.75,24.0,17.21,5.25,0.0,0.64,2.33,7.88,3.38,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Wilson Ramos,467092,121,89.0,114.0,35.0,8.0,0.0,9.0,47.0,33.0,5.0,75.0,1.0,0.26,288.0,0.336,0.382,0.718,0.0,0.0,0.0,11.0,1076.0,324.0,110.0,44.0,123.0,0.0,2.0,0.282,2.11,0.182,4.0,0.24,0.422,0.182,0.216,11.0,0.305,0.54,0.235,0.281,4.5,0.99,10.13,0.75,24.0,17.21,5.25,0.0,0.64,2.33,7.88,3.38,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Austin Hedges,595978,135,65.0,35.0,17.0,8.0,0.0,7.0,74.0,14.0,1.0,41.0,5.0,0.194,211.0,0.26,0.332,0.591,0.0,1.0,1.0,3.0,928.0,231.0,70.0,28.0,90.0,0.0,1.0,0.26,0.56,0.3,6.0,0.375,0.925,0.55,0.234,11.0,0.288,0.671,0.383,0.195,1.69,0.91,6.19,0.56,32.0,16.13,1.69,0.667,0.66,3.5,11.81,3.38,1.06,0.67,9.0,0.0,0.0,0.182,0.182,0.0,1.0
Eric Hosmer,543333,135,101.0,137.0,50.0,19.0,1.0,13.0,84.0,29.0,2.0,113.0,2.0,0.283,400.0,0.332,0.433,0.764,1.0,0.0,0.0,7.0,1659.0,434.0,173.0,64.0,134.0,0.0,3.0,0.327,1.99,0.259,7.0,0.323,0.656,0.333,0.222,14.0,0.265,0.567,0.302,0.195,1.69,0.91,6.19,0.56,32.0,16.13,1.69,0.667,0.66,3.5,11.81,3.38,1.06,0.67,12.0,0.167,2.0,0.231,0.398,0.167,0.0
Fernando Tatis Jr.,665487,135,67.0,55.0,50.0,11.0,5.0,16.0,89.0,24.0,1.0,85.0,4.0,0.326,261.0,0.387,0.59,0.977,3.0,14.0,0.824,3.0,1125.0,292.0,154.0,41.0,86.0,0.0,3.0,0.434,1.57,0.323,10.0,0.353,0.934,0.581,0.328,21.0,0.371,0.918,0.547,0.195,1.69,0.91,6.19,0.56,32.0,16.13,1.69,0.667,0.66,3.5,11.81,3.38,1.06,0.67,3.0,0.0,0.0,0.0,0.0,0.0,1.0
Francisco Mejia,642336,135,44.0,28.0,13.0,5.0,1.0,4.0,32.0,8.0,1.0,30.0,3.0,0.236,127.0,0.295,0.386,0.681,0.0,0.0,0.0,4.0,517.0,139.0,49.0,11.0,54.0,0.0,1.0,0.283,0.74,0.471,8.0,0.526,1.232,0.706,0.286,12.0,0.348,0.8,0.452,0.195,1.69,0.91,6.19,0.56,32.0,16.13,1.69,0.667,0.66,3.5,11.81,3.38,1.06,0.67,3.0,0.667,2.0,0.667,1.334,0.667,0.0
