Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand,player_got_hit
Andrew Benintendi,643217,111,113.0,90.0,62.0,38.0,5.0,12.0,124.0,50.0,1.0,131.0,5.0,0.283,463.0,0.357,0.464,0.821,2.0,9.0,0.818,3.0,2072.0,523.0,215.0,63.0,187.0,2.0,3.0,0.361,0.73,38.58,0.0,0.222,6.0,0.3,0.707,0.407,0.0,0.276,16.0,0.354,0.785,0.431,0.214,4.91,1.25,7.36,2.81,3.2,14.73,5.62,0.0,0.65,1.0,4.91,4.91,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Brock Holt,571788,111,59.0,44.0,26.0,10.0,2.0,2.0,32.0,19.0,0.0,51.0,3.0,0.319,160.0,0.392,0.444,0.836,0.0,1.0,1.0,2.0,781.0,186.0,71.0,23.0,68.0,0.0,4.0,0.377,1.19,80.0,15.0,0.4,6.0,0.55,1.417,0.867,30.0,0.233,7.0,0.4,0.867,0.467,0.214,4.91,1.25,7.36,2.81,3.2,14.73,5.62,0.0,0.65,1.0,4.91,4.91,1.36,0.0,2.0,0.5,1.0,0.333,0.833,0.5,0.0,True
Chris Owings,572008,111,47.0,38.0,11.0,5.0,1.0,2.0,64.0,9.0,0.0,19.0,2.0,0.128,148.0,0.189,0.216,0.405,1.0,4.0,0.8,1.0,633.0,159.0,32.0,11.0,72.0,0.0,0.0,0.207,1.41,74.0,0.0,0.077,1.0,0.143,0.297,0.154,0.0,0.077,1.0,0.143,0.297,0.154,0.214,4.91,1.25,7.36,2.81,3.2,14.73,5.62,0.0,0.65,1.0,4.91,4.91,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
Christian Vazquez,543877,111,109.0,92.0,53.0,22.0,1.0,18.0,83.0,24.0,3.0,109.0,0.0,0.285,382.0,0.325,0.49,0.815,2.0,2.0,0.5,13.0,1580.0,412.0,187.0,53.0,175.0,3.0,3.0,0.32,0.88,21.22,0.0,0.381,8.0,0.435,0.959,0.524,27.5,0.291,16.0,0.339,0.848,0.509,0.214,4.91,1.25,7.36,2.81,3.2,14.73,5.62,0.0,0.65,1.0,4.91,4.91,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True
J.D. Martinez,502110,111,117.0,106.0,78.0,28.0,2.0,28.0,105.0,55.0,7.0,144.0,4.0,0.308,467.0,0.384,0.557,0.94,0.0,1.0,1.0,16.0,1966.0,530.0,260.0,75.0,194.0,0.0,3.0,0.344,0.92,16.68,0.0,0.28,7.0,0.387,0.747,0.36,14.75,0.39,23.0,0.448,1.126,0.678,0.214,4.91,1.25,7.36,2.81,3.2,14.73,5.62,0.0,0.65,1.0,4.91,4.91,1.36,0.0,2.0,0.0,0.0,0.333,0.333,0.0,1.0,True
Jackie Bradley Jr.,598265,111,116.0,113.0,55.0,21.0,3.0,16.0,119.0,44.0,3.0,90.0,11.0,0.224,401.0,0.317,0.411,0.728,2.0,7.0,0.778,5.0,1763.0,461.0,165.0,50.0,178.0,3.0,2.0,0.276,1.35,25.06,6.25,0.32,8.0,0.333,1.213,0.88,12.75,0.216,11.0,0.293,0.783,0.49,0.214,4.91,1.25,7.36,2.81,3.2,14.73,5.62,0.0,0.65,1.0,4.91,4.91,1.36,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Marco Hernandez,593523,111,35.0,22.0,14.0,5.0,0.0,2.0,17.0,2.0,0.0,25.0,2.0,0.316,79.0,0.349,0.456,0.805,2.0,1.0,0.333,1.0,286.0,84.0,36.0,8.0,42.0,1.0,0.0,0.383,1.38,39.5,0.0,0.25,4.0,0.333,0.646,0.313,0.0,0.25,7.0,0.323,0.609,0.286,0.214,4.91,1.25,7.36,2.81,3.2,14.73,5.62,0.0,0.65,1.0,4.91,4.91,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Mitch Moreland,519048,111,64.0,60.0,32.0,11.0,1.0,14.0,52.0,24.0,0.0,50.0,0.0,0.244,205.0,0.32,0.512,0.833,0.0,1.0,1.0,9.0,935.0,231.0,105.0,44.0,113.0,0.0,2.0,0.255,1.33,14.64,0.0,0.4,8.0,0.455,0.955,0.5,49.0,0.327,16.0,0.365,0.834,0.469,0.214,4.91,1.25,7.36,2.81,3.2,14.73,5.62,0.0,0.65,1.0,4.91,4.91,1.36,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Mookie Betts,605141,111,127.0,102.0,116.0,36.0,5.0,21.0,90.0,88.0,6.0,142.0,2.0,0.283,501.0,0.388,0.501,0.889,3.0,13.0,0.813,11.0,2505.0,598.0,251.0,65.0,166.0,0.0,7.0,0.305,0.59,23.86,30.0,0.333,10.0,0.382,1.082,0.7,28.5,0.281,16.0,0.382,0.943,0.561,0.214,4.91,1.25,7.36,2.81,3.2,14.73,5.62,0.0,0.65,1.0,4.91,4.91,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True
Rafael Devers,646240,111,125.0,135.0,103.0,47.0,3.0,27.0,89.0,39.0,6.0,168.0,2.0,0.329,511.0,0.377,0.591,0.968,8.0,8.0,0.5,6.0,2039.0,555.0,302.0,102.0,193.0,1.0,2.0,0.355,1.11,18.93,10.33,0.516,16.0,0.559,1.624,1.065,13.0,0.369,24.0,0.414,1.168,0.754,0.214,4.91,1.25,7.36,2.81,3.2,14.73,5.62,0.0,0.65,1.0,4.91,4.91,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
