Name,ID,Team,gamesPlayed,groundOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,atBatsPerHomeRun,atBatsPerHomeRun_p7G,avg_p7G,hits_p7G,obp_p7G,ops_p7G,slg_p7G,atBatsPerHomeRun_p15G,avg_p15G,hits_p15G,obp_p15G,ops_p15G,slg_p15G,avg_p5G,era_p5G,groundOutsToAirouts_p5G,hitsPer9Inn_p5G,homeRunsPer9_p5G,inningsPitched_p5G,pitchesPerInning_p5G,runsScoredPer9_p5G,stolenBasePercentage_p5G,strikePercentage_p5G,strikeoutWalkRatio_p5G,strikeoutsPer9Inn_p5G,walksPer9Inn_p5G,whip_p5G,winPercentage_p5G,atBats_h2h,avg_h2h,hits_h2h,obp_h2h,ops_h2h,slg_h2h,pitcher_hitter_opposite_hand
Adam Haseley,656514,143,37.0,40.0,16.0,6.0,0.0,3.0,36.0,6.0,0.0,29.0,3.0,0.238,122.0,0.29,0.361,0.651,0.0,2.0,1.0,3.0,536.0,131.0,44.0,14.0,47.0,0.0,0.0,0.313,2.35,40.67,0.0,0.143,3.0,0.25,0.393,0.143,0.0,0.205,9.0,0.271,0.498,0.227,0.202,3.33,1.02,6.67,0.67,27.0,15.96,3.33,1.0,0.64,3.13,8.33,2.67,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Knapp,595284,143,62.0,22.0,10.0,4.0,0.0,1.0,37.0,15.0,1.0,20.0,3.0,0.198,101.0,0.319,0.267,0.587,0.0,0.0,0.0,2.0,488.0,121.0,27.0,4.0,52.0,2.0,0.0,0.302,0.92,101.0,0.0,0.182,2.0,0.25,0.432,0.182,0.0,0.381,8.0,0.435,0.864,0.429,0.202,3.33,1.02,6.67,0.67,27.0,15.96,3.33,1.0,0.64,3.13,8.33,2.67,1.04,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brad Miller,543543,143,55.0,21.0,14.0,4.0,1.0,5.0,28.0,14.0,0.0,22.0,1.0,0.232,95.0,0.336,0.453,0.789,0.0,2.0,1.0,1.0,432.0,110.0,43.0,14.0,41.0,0.0,0.0,0.274,0.88,19.0,11.0,0.273,3.0,0.429,1.065,0.636,18.0,0.222,4.0,0.364,0.808,0.444,0.202,3.33,1.02,6.67,0.67,27.0,15.96,3.33,1.0,0.64,3.13,8.33,2.67,1.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryce Harper,547180,143,126.0,98.0,78.0,31.0,0.0,28.0,148.0,85.0,9.0,118.0,4.0,0.253,466.0,0.372,0.5,0.872,3.0,7.0,0.7,7.0,2301.0,557.0,233.0,93.0,183.0,0.0,2.0,0.308,0.94,16.64,6.75,0.259,7.0,0.333,1.074,0.741,6.33,0.281,16.0,0.369,1.141,0.772,0.202,3.33,1.02,6.67,0.67,27.0,15.96,3.33,1.0,0.64,3.13,8.33,2.67,1.04,0.0,2.0,0.5,1.0,0.667,1.167,0.5,0.0
Cesar Hernandez,514917,143,129.0,148.0,59.0,25.0,3.0,8.0,74.0,34.0,3.0,136.0,6.0,0.281,484.0,0.333,0.395,0.728,2.0,7.0,0.778,8.0,2019.0,528.0,191.0,54.0,200.0,0.0,4.0,0.315,1.14,60.5,0.0,0.28,7.0,0.4,0.76,0.36,0.0,0.278,15.0,0.381,0.714,0.333,0.202,3.33,1.02,6.67,0.67,27.0,15.96,3.33,1.0,0.64,3.13,8.33,2.67,1.04,0.0,7.0,0.286,2.0,0.286,0.572,0.286,0.0
Corey Dickerson,572816,143,63.0,45.0,26.0,23.0,2.0,8.0,39.0,14.0,4.0,60.0,0.0,0.3,200.0,0.341,0.555,0.896,0.0,1.0,1.0,4.0,921.0,217.0,111.0,46.0,88.0,0.0,3.0,0.333,0.76,25.0,31.0,0.258,8.0,0.281,0.797,0.516,30.5,0.262,16.0,0.27,0.778,0.508,0.202,3.33,1.02,6.67,0.67,27.0,15.96,3.33,1.0,0.64,3.13,8.33,2.67,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.T. Realmuto,592663,143,124.0,99.0,79.0,31.0,1.0,19.0,109.0,37.0,2.0,125.0,3.0,0.275,454.0,0.331,0.474,0.804,1.0,7.0,0.875,9.0,1952.0,499.0,215.0,68.0,236.0,0.0,5.0,0.32,0.79,23.9,0.0,0.172,5.0,0.294,0.535,0.241,14.5,0.31,18.0,0.397,1.018,0.621,0.202,3.33,1.02,6.67,0.67,27.0,15.96,3.33,1.0,0.64,3.13,8.33,2.67,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jean Segura,516416,143,118.0,160.0,69.0,30.0,3.0,11.0,60.0,27.0,1.0,136.0,8.0,0.286,475.0,0.334,0.432,0.766,2.0,7.0,0.778,9.0,1818.0,513.0,205.0,52.0,180.0,1.0,2.0,0.308,1.31,43.18,0.0,0.345,10.0,0.387,0.87,0.483,0.0,0.295,18.0,0.333,0.743,0.41,0.202,3.33,1.02,6.67,0.67,27.0,15.96,3.33,1.0,0.64,3.13,8.33,2.67,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Logan Morrison,489149,143,8.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.231,13.0,0.231,0.308,0.538,0.0,0.0,0.0,0.0,49.0,13.0,4.0,0.0,4.0,0.0,0.0,0.273,0.6,0.0,0.0,0.25,3.0,0.25,0.583,0.333,0.0,0.231,3.0,0.231,0.539,0.308,0.202,3.33,1.02,6.67,0.67,27.0,15.96,3.33,1.0,0.64,3.13,8.33,2.67,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhys Hoskins,656555,143,129.0,69.0,71.0,25.0,4.0,25.0,134.0,101.0,5.0,106.0,9.0,0.233,455.0,0.38,0.47,0.85,2.0,1.0,0.333,6.0,2637.0,571.0,214.0,73.0,214.0,0.0,4.0,0.27,0.46,18.2,25.0,0.12,3.0,0.371,0.651,0.28,49.0,0.102,5.0,0.328,0.512,0.184,0.202,3.33,1.02,6.67,0.67,27.0,15.96,3.33,1.0,0.64,3.13,8.33,2.67,1.04,0.0,2.0,0.0,0.0,0.333,0.333,0.0,1.0
